Рейтинг,Рейтинг кинокритиков,Название,Оригинальное название,Главные роли,год,страна,слоган,режиссер,сценарий,продюсер,оператор,композитор,художник,монтаж,жанр,бюджет,сборы в США,сборы в мире,сборы в России,зрители,премьера (мир),премьера (РФ),релиз на DVD,релиз на Blu-ray,возраст,рейтинг MPAA,время
8.110,83%,Танцующий с волками,Dances with Wolves,"Кевин Костнер, Мэри МакДоннелл, Грэм Грин, Родни А. Грант, Флойд «Ред Кроу» Уэстермен, Танту Кардинал, Роберт Пасторелли, Чарльз Роккет, Мори Чайкин, Джимми Херман, ..., ",1990,"США,  Великобритания",«Lt. John Dunbar is about to discover the frontier...within himself»,Кевин Костнер,Майкл Блейк,"Кевин Костнер,  Джим Уилсон,  Бонни Арнольд, ...",Дин Семлер,Джон Бэрри,"Джеффри Бикрофт,  Уильям Лэдд Скиннер,  Эльза Дзампарелли, ...","Уильям Хой,  Чип Масамицу,  Стив Поттер, ...","драма,  вестерн,  приключения,  военный,  история, ... слова",$22 000 000,$184 208 848,+ $240 000 000 = $424 208 848 сборы,,"43.7 млн,      7.28 млн,      6.86 млн, ...","19 октября 1990, ...",,"16 сентября 2008,                        «CD Land»",,"зрителям, достигшим 16 лет",детям до 13 лет просмотр не желателен,181 мин. / 03:01
8.163,74%,Привидение,Ghost,"Патрик Суэйзи, Деми Мур, Вупи Голдберг, Тони Голдуин, Рик Авилес, Стэнли Лоуренс, Кристофер Дж. Кин, Сьюзен Бреслау, Мартина Дэйнан, Рик Клебер, ..., ",1990,США,«You will believe»,Джерри Цукер,Брюс Джоэл Рубин,"Стивен-Чарльз Джаффе,  Брюс Джоэл Рубин,  Лиза Вайнштейн, ...",Адам Гринберг,Морис Жарр,"Джейн Маски,  Марк В. Мэнсбридж,  Рут Морли, ...",Уолтер Мёрч,"мелодрама,  фэнтези,  триллер,  драма, ... слова",$22 000 000,$217 631 306,+ $288 071 282 = $505 702 588 сборы,,"51.5 млн,      10 млн,      8.78 млн, ...","13 июля 1990, ...",,"22 декабря 2009,                        «Юниверсал Пикчерс Рус»","5 апреля 2011,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,127 мин. / 02:07
8.244,,12 стульев,,"Арчил Гомиашвили, Сергей Филиппов, Михаил Пуговкин, Наталья Крачковская, Наталья Воробьева, Гликерия Богданова-Чеснокова, Нина Гребешкова, Юрий Никулин, Наталья Варлей, Клара Румянова, ..., ",1971,СССР,«Amerika Be Seated!»,Леонид Гайдай,"Владлен Бахнов,  Леонид Гайдай,  Илья Ильф, ...",,"Сергей Полуянов,  Валерий Шувалов",Александр Зацепин,"Евгений Куманьков,  К. Савицкий",Клавдия Алеева,"комедия,  приключения,  криминал, ... слова",,,,,39.3 млн,"21 июня 1971, ...",,"18 февраля 2010,                        «Lizard Cinema Trade»",,"зрителям, достигшим 6 лет",детям до 13 лет просмотр не желателен,153 мин. / 02:33
8.056,19%,Жизнь Дэвида Гейла,The Life of David Gale,"Кевин Спейси, Кейт Уинслет, Лора Линни, Гэбриел Манн, Мэтт Крэйвен, Леон Риппи, Мелисса Маккарти, Рона Митра, Элизабет Гэст, Джим Бивер, ..., ",2002,"США,  Германия,  Великобритания,  Испания","«Солгать всегда проще, чем сказать правду»",Алан Паркер,Чарльз Рэндольф,"Алан Паркер,  Николас Кейдж,  Мориц Борман, ...",Майкл Серезин,"Алекс Паркер,  Джейк Паркер","Джеффри Керклэнд,  Стив Арнольд,  Дженнифер Уильямс, ...",Джерри Хэмблинг,"триллер,  драма,  криминал, ... слова",$38 000 000,$19 955 598,+ $19 000 000 = $38 955 598 сборы,,"3.3 млн,      503.8 тыс.,      482.2 тыс., ...","7 февраля 2003, ...","17 июля 2003,                             «Пирамида»,  «Парадиз»","30 сентября 2003,                        «Пирамида»",,"зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,130 мин. / 02:10
8.050,80%,Рэй,Ray,"Джейми Фокс, Керри Вашингтон, Реджина Кинг, Клифтон Пауэлл, Гарри Дж. Ленникс, Боким Вудбайн, Онжаню Эллис, Шаррон Уоррен, С.Дж. Сандерс, Кертис Армстронг, ..., ",2004,США,«Вдохновляющая и неординарная история жизни Рэя Чарльза»,Тейлор Хэкфорд,"Джеймс Л. Уайт,  Тейлор Хэкфорд","Ховард Болдуин,  Карен Элиз Болдуин,  Стюарт Бенжамин, ...",Павел Эдельман,Крэйг Армстронг,"Стефен Олтмэн,  Джон Баклин,  Скотт Плоше, ...",Пол Хирш,"драма,  биография,  музыка, ... слова",$40 000 000,$75 331 600,+ $48 639 776 = $123 971 376  сборы,$75 000,"12.3 млн,      1.57 млн,      561 тыс., ...","12 сентября 2004, ...","27 января 2005,                             «UIP»","12 апреля 2011,                        «ВС трейд»","22 марта 2011,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,152 мин. / 02:32
8.347,,Шерлок Холмс и доктор Ватсон: Сокровища Агры,,"Василий Ливанов, Виталий Соломин, Рина Зеленая, Борислав Брондуков, Екатерина Зинченко, Виктор Проскурин, Сергей Шакуров, Павел Кадочников, Валентина Кособуцкая, Нина Юрасова, ..., ",1983,СССР,-,Игорь Масленников,"Игорь Масленников,  Артур Конан Дойл",,Юрий Векслер,Владимир Дашкевич,"Белла Маневич-Каплан,  Нелли Лев",Людмила Образумова,"мелодрама,  криминал,  детектив, ... слова",,,,,,25 июня 1983,,"11 февраля 2010,                        «Lizard Cinema Trade»",,для любой зрительской аудитории,,151 мин. / 02:31
8.069,60%,Терминал,The Terminal,"Том Хэнкс, Кэтрин Зета-Джонс, Стэнли Туччи, Чи МакБрайд, Диего Луна, Бэрри Шебака Хенли, Кумар Паллана, Зои Салдана, Эдди Джонс, Джуд Чикколелла, ..., ",2004,США,«Жизнь - это ожидание»,Стивен Спилберг,"Саша Джерваси,  Джефф Натансон,  Эндрю Никкол","Лори МакДональд,  Уолтер Ф. Паркс,  Стивен Спилберг, ...",Януш Камински,Джон Уильямс,"Алекс Макдауэлл,  Кристофер Бериэн-Мор,  Брэд Рикер, ...",Майкл Кан,"драма,  мелодрама,  комедия, ... слова",$60 000 000,$77 872 883,+ $140 812 724 = $218 685 607  сборы,$1 880 000,"12.5 млн,      1.63 млн,      1.41 млн, ...","9 июня 2004, ...","14 октября 2004,                             «UIP»","5 октября 2005,                        «Юниверсал Пикчерс Рус»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,124 мин. / 02:04
8.168,80%,Назад в будущее 3,Back to the Future Part III,"Майкл Дж. Фокс, Кристофер Ллойд, Мэри Стинберген, Томас Ф. Уилсон, Лиа Томпсон, Элизабет Шу, Мэтт Кларк, Ричард А. Дайсарт, Пэт Баттрем, Гарри Кэри мл., ..., ",1990,США,«Лучшее путешествие они оставили напоследок... Но в этот раз они зашли слишком далеко...»,Роберт Земекис,"Роберт Земекис,  Боб Гейл","Нил Кэнтон,  Боб Гейл,  Кэтлин Кеннеди, ...",Дин Канди,Алан Сильвестри,"Рик Картер,  Марджи Стоун МакШирли,  Уильям Джеймс Тигарден, ...","Гарри Керамидас,  Артур Шмидт","фантастика,  комедия,  приключения,  вестерн, ... слова",$40 000 000,$87 727 583,+ $156 800 000 = $244 527 583 сборы,,"20.7 млн,      1.94 млн,      1.68 млн, ...","25 мая 1990, ...",,"20 ноября 2003,                        «Premier Digital»",,"зрителям, достигшим 6 лет",рекомендуется присутствие родителей,118 мин. / 01:58
8.075,97%,Умница Уилл Хантинг,Good Will Hunting,"Мэтт Дэймон, Робин Уильямс, Бен Аффлек, Стеллан Скарсгард, Минни Драйвер, Кейси Аффлек, Коул Хаузер, Скотт Уильям Уинтерс, Джон Майтон, Рэйчел Маджоровски, ..., ",1997,США,"«Some people can never believe in themselves, until someone believes in them»",Гас Ван Сент,"Мэтт Дэймон,  Бен Аффлек","Лоуренс Бендер,  Су Армстронг,  Джон Гордон, ...",Жан-Ив Эскоффер,Дэнни Элфман,"Мисси Стюарт,  Джеймс МакЭтир,  Беатрикс Аруна Пастор, ...",Пьетро Скалия,"драма,  мелодрама, ... слова",$10 000 000,$138 433 435,+ $87 500 000 = $225 933 435 сборы,,"29.5 млн,      2 млн,      1.44 млн, ...","2 декабря 1997, ...",,"2 октября 2001,                        «Premier Digital»","13 ноября 2013,                        «Кармен Видео»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,126 мин. / 02:06
8.030,82%,Самый быстрый Indian,The World's Fastest Indian,"Энтони Хопкинс, Аарон Мерфи, Крис Уильямс, Дайан Лэдд, Кристофер Лоуфорд, Брюс Гринвуд, Уильям Лаккинг, Уолтон Гоггинс, Джессика Коффил, Патрик Флюгер, ..., ",2005,"Новая Зеландия,  Япония,  США",«Всю свою жизнь я мечтал сделать что-нибудь большое»,Роджер Дональдсон,Роджер Дональдсон,"Роджер Дональдсон,  Гари Хэннем,  Мюррэй Френсис, ...",Дэвид Гриббл,Дж. Питер Робинсон,"Роберт Гиллис,  Дж. Деннис Вашингтон,  Роджер Гуис, ...",Джон Гилберт,"драма,  биография,  спорт, ... слова",$25 000 000,$5 128 124,+ $13 169 566 = $18 297 690  сборы,$114 500,"782.9 тыс.,      96.3 тыс.,      38.4 тыс., ...","10 сентября 2005, ...","20 июля 2006,                             «Гемини Киномир»","17 августа 2006,                        «Союз-Видео»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,127 мин. / 02:07
8.089,53%,Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,"Джонни Депп, Орландо Блум, Кира Найтли, Джек Девенпорт, Билл Найи, Стеллан Скарсгард, Кевин МакНэлли, Ли Аренберг, Макензи Крук, Том Холландер, ..., ",2006,США,«Jack is back! Never trust a pirate!»,Гор Вербински,"Тед Эллиот,  Терри Россио,  Стюарт Битти, ...","Джерри Брукхаймер,  Брюс Хендрикс,  Джек Ни, ...",Дариуш Вольски,Ханс Циммер,"Рик Хайнрихс,  Брюс Кроун,  Джон Декстер, ...","Стивен Е. Ривкин,  Крэйг Вуд","фэнтези,  боевик,  приключения, ... слова",$225 000 000,$423 315 812,+ $642 863 913 = $1 066 179 725  сборы,$27 512 316,"64.6 млн,      10.8 млн,      7.75 млн, ...","24 июня 2006, ...","13 июля 2006,                             «Каскад фильм»","3 апреля 2012,                        «ВС трейд»","1 октября 2009,                        «Уолт Дисней Компани СНГ»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,151 мин. / 02:31
8.117,96%,Славные парни,Goodfellas,"Роберт Де Ниро, Рэй Лиотта, Джо Пеши, Лоррейн Бракко, Пол Сорвино, Фрэнк Сиверо, Тони Дарроу, Майк Старр, Фрэнк Винсент, Чак Лоу, ..., ",1990,США,«Тридцать лет из жизни мафии»,Мартин Скорсезе,"Николас Пиледжи,  Мартин Скорсезе","Ирвин Уинклер,  Барбара Де Фина,  Брюс С. Пастин",Михаэль Балльхаус,,"Кристи Зиа,  Мехер Ахмад,  Ричард Бруно, ...","Джеймс Й. Куэй,  Тельма Скунмейкер","драма,  криминал,  биография, ... слова",$25 000 000,$46 836 394  сборы,,,"11.1 млн,      1.35 млн,      976.3 тыс., ...","9 сентября 1990, ...",,"13 июня 2001,                        «Мост-Видео»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,140 мин. / 02:20
8.180,,Лицо со шрамом,Scarface,"Аль Пачино, Стивен Бауэр, Мишель Пфайффер, Мэри Элизабет Мастрантонио, Роберт Лоджа, Мириам Колон, Ф. Мюррэй Абрахам, Пол Шенар, Харрис Юлин, Анхель Саласар, ..., ",1983,США,«The World Is Yours»,Брайан Де Пальма,"Оливер Стоун,  Армитэдж Трэйл,  Бен Хект, ...","Мартин Брегман,  Питер Сэфир,  Луис А. Строллер",Джон А. Алонсо,Джорджо Мородер,"Эдвард Ричардсон,  Патриша Норрис,  Брюс Вайнтрауб","Джералд Б. Гринберг,  Дэвид Рэй","драма,  криминал, ... слова",$25 000 000,$44 668 798,+ $20 476 000 = $65 144 798 сборы,,"13.8 млн,      770.5 тыс.,      397.7 тыс., ...","1 декабря 1983, ...",,"28 ноября 2006,                        «Юниверсал Пикчерс Рус»","8 сентября 2011,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,170 мин. / 02:50
8.164,91%,На несколько долларов больше,Per qualche dollaro in più,"Клинт Иствуд, Ли Ван Клиф, Джан Мария Волонте, Марио Брега, Луиджи Пистилли, Альдо Самбрель, Клаус Кински, Бенито Стефанелли, Луис Родригес Палильо, Панос Пападопулос, ..., ",1965,"Италия,  Испания,  Германия (ФРГ)",«It's the second motion picture of its kind! It won't be the last!»,Серджио Леоне,"Серджио Леоне,  Фульвио Морселла,  Лучиано Винчензони, ...","Артуро Гонзалез,  Альфредо Фрайле,  Альберто Гримальди",Массимо Далламано,Эннио Морриконе,"Анхель Каберо,  Монторо","Эудженио Алабисо,  Джорджо Серраллонга","вестерн,  драма,  боевик, ... слова",$600 000,$15 000 000 сборы,,,"5.5 млн,      4.17 млн","18 декабря 1965, ...",,"14 января 2002,                        «DVD Магия»","17 июня 2010,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,130 мин. / 02:10
8.015,77%,Ледниковый период,Ice Age,"Рэй Романо, Джон Легуизамо, Дэнис Лири, Горан Вишнич, Джек Блэк, Седрик «Развлекатель», Стивен Рут, Дидрих Бадер, Алан Тьюдик, Лорри Бэгли, ..., ",2002,США,«Отмороженные герои»,"Крис Уэдж,  Карлос Салдана","Майкл Дж. Уилсон,  Майкл Берг,  Питер Экерман, ...","Лори Форте,  Джон С. Донкин,  Кристофер Меледандри",,Дэвид Ньюман,Брайан МакЭнти,Джон Карнокэн,"мультфильм,  фэнтези,  комедия,  приключения,  семейный, ... слова",$59 000 000,$176 387 405,+ $206 869 731 = $383 257 136 сборы,$1 575 579,"30.4 млн,      6.84 млн,      3.28 млн, ...","12 марта 2002, ...","21 августа 2002,                             «Гемини Киномир»","27 января 2004,                        «Гемини-Фильм»","17 декабря 2009,                        «Двадцатый Век Фокс СНГ»",для любой зрительской аудитории,рекомендуется присутствие родителей,81 мин. / 01:21
8.183,,Остров сокровищ,,"Владимир Заднепровский, Евгений Паперный, Армен Джигарханян, Юрий Яковлев, Валерий Бессараб, Борис Вознюк, Георгий Кишко, Валерий Чигляев, Виктор Андриенко, Григорий Толчинский, ..., ",1988,СССР,-,Давид Черкасский,"Юрий Аликов,  Роберт Льюис Стивенсон",,"Владимир Белоруссов,  Виктор Груздев",Владимир Быстряков,Радна Сахалтуев,Юлия Сребницкая,"мультфильм,  приключения,  мюзикл,  комедия, ... слова",,,,,,24 марта 1989,,"22 марта 2011,                        «Lizard Cinema Trade»",,"зрителям, достигшим 12 лет",нет возрастных ограничений,107 мин.
8.009,98%,Головоломка,Inside Out,"Эми Полер, Филлис Смит, Ричард Кайнд, Билл Хейдер, Льюис Блэк, Минди Кейлинг, Кейтлин Диас, Дайан Лэйн, Кайл МакЛоклен, Пола Паундстон, ..., ",2015,США,"«Нет слов, одни эмоции»","Пит Доктер,  Роналдо Дель Кармен","Пит Доктер,  Мэг ЛеФов,  Джош Кули, ...","Джон Лассетер,  Марк Нилсен,  Джонас Ривера, ...",,Майкл Джаккино,Ральф Эгглстон,Кевин Нолтинг,"мультфильм,  семейный,  комедия, ... слова",$175 000 000,$356 461 711,+ $501 149 463 = $857 611 174  сборы,$18 134 698,"5.01 млн,      2.73 млн","18 мая 2015, ...","18 июня 2015,                             «WDSSPR»                           3D","3 ноября 2015,                        «Уолт Дисней Компани СНГ»","3 ноября 2015,                        «Уолт Дисней Компани СНГ»","зрителям, достигшим 6 лет",рекомендуется присутствие родителей,95 мин. / 01:35
7.977,95%,Король говорит!,The King's Speech,"Колин Фёрт, Джеффри Раш, Хелена Бонем Картер, Гай Пирс, Тимоти Сполл, Энтони Эндрюс, Майкл Гэмбон, Клэр Блум, Дерек Джекоби, Дженнифер Эль, ..., ",2010,"Великобритания,  США,  Австралия",«It takes leadership to confront a nation's fear. It takes friendship to conquer your own»,Том Хупер,Дэвид Сайдлер,"Эйн Каннинг,  Эмиль Шерман,  Гарет Унвин, ...",Дэнни Коэн,Александр Деспла,"Ив Стюарт,  Дэвид Хиндл,  Леон МакКарти, ...",Тарик Анвар,"драма,  биография,  история, ... слова",$15 000 000,$135 453 143,+ $275 414 100 = $410 867 243  сборы,$1 681 032,"17.5 млн,      7.54 млн,      3.09 млн, ...","6 сентября 2010, ...","24 февраля 2011,                             «Каскад фильм»","7 апреля 2011,                        «CP-Digital»","7 апреля 2011,                        «CP-Digital»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,118 мин. / 01:58
8.231,,Блеф,Bluff storia di truffe e di imbroglioni,"Адриано Челентано, Энтони Куинн, Коринн Клери, Капюсин, Уго Болонья, Сальваторе Боргезе, Лео Гаверо, Мирча Карвен, Микки Нокс, Хелен Стёрлинг, ..., ",1976,Италия,«История обмана и мошенничества»,Серджио Корбуччи,"Массимо Де Рита,  Серджио Корбуччи,  Микки Нокс, ...","Марио Чекки Гори,  Джо Анна Нилэнд,  Джеффри Гилберт, ...",Марчелло Гатти,Лелио Луттацци,"Андреа Кризанти,  Уэйн,  Марко Дентичи","Эудженио Алабисо,  Сэм Гупта","комедия,  криминал, ... слова",,,,,"44.3 млн,      5.84 млн","15 апреля 1976, ...",,"5 декабря 2011,                        «Азимут»",,"зрителям, достигшим 16 лет",рекомендуется присутствие родителей,110 мин. / 01:50
8.209,94%,Ромео и Джульетта,Romeo and Juliet,"Леонард Уайтинг, Оливия Хасси, Джон МакИнери, Майло О’Ши, Пэт Хейвуд, Роберт Стивенс, Майкл Йорк, Брюс Робинсон, Пол Хардвик, Наташа Парри, ..., ",1968,"Великобритания,  Италия",«No ordinary love story...»,Франко Дзеффирелли,"Франко Брузати,  Мазолино Д’амико,  Франко Дзеффирелли, ...","Джон Брабуне,  Энтони Хейвлок-Аллан,  Ричард Б. Гудвин",Паскуалино Де Сантис,Нино Рота,"Лоренцо Монджардино,  Эмилио Каркано,  Лучиано Пуччини, ...",Реджинальд Миллз,"драма,  мелодрама, ... слова",,$38 901 218 сборы,,,35.8 млн,"4 марта 1968, ...",,,,"зрителям, достигшим 12 лет",нет возрастных ограничений,138 мин. / 02:18
8.077,,Перед классом,Front of the Class,"Джеймс Волк, Трит Уильямс, Доминик Скотт Кэй, Сара Дрю, Кэтлин Йорк, Джо Крест, Патриша Хитон, Джонни Пакар, Чарльз Генри Висон, Чарли Финн, ..., ",2008,США,-,Питер Уэрнер,"Томас Рикман,  Брэд Коэн,  Лиза Высоцки","Эндрю Готтлиб,  Камерон Йохан,  Брент Шилдс, ...",Пол Эллиот,Эрнест Труст,"Джеймс А. Жерарден,  Кристина Юнджи Ким,  Энид Харрис, ...",Дэвид Битти,"драма, ... слова",,,,,,7 декабря 2008,,,,,рекомендуется присутствие родителей,95 мин. / 01:35
8.133,91%,Нюрнбергский процесс,Judgment at Nuremberg,"Спенсер Трэйси, Берт Ланкастер, Максимилиан Шелл, Ричард Уидмарк, Марлен Дитрих, Монтгомери Клифт, Джуди Гарлэнд, Уильям Шетнер, Кэннет МакКенна, Рэй Тил, ..., ",1961,США,«More than a motion picture...It is an overwhelming experience in human emotion you will never forget!»,Стэнли Крамер,"Эбби Манн,  Монтгомери Клифт","Стэнли Крамер,  Филип Лангнер",Эрнест Ласло,Эрнест Голд,"Рудольф Стернад,  Джо Кинг,  Джордж Мило",Фредерик Кнудсон,"драма,  военный, ... слова",$3 000 000,$6 000 000 сборы,,,,"14 декабря 1961, ...",,,,"зрителям, достигшим 12 лет",,179 мин. / 02:59
8.192,,Золотой теленок,,"Сергей Юрский, Леонид Куравлёв, Зиновий Гердт, Евгений Евстигнеев, Светлана Старикова, Николай Боярский, Михаил Кокшенов, Павел Павленко, Павел Винник, Константин Воинов, ..., ",1968,СССР,-,Михаил Швейцер,"Михаил Швейцер,  Илья Ильф,  Евгений Петров",,Сергей Полуянов,Георгий Фиртич,Абрам Фрейдин,,"комедия, ... слова",,,,,29.6 млн,"8 июля 1968, ...",,"25 февраля 2010,                        «Lizard Cinema Trade»",,для любой зрительской аудитории,,164 мин. / 02:44
8.015,42%,Планета Ка-Пэкс,K-PAX,"Кевин Спейси, Джефф Бриджес, Мэри МакКормак, Элфри Вудард, Дэвид Патрик Келли, Сол Уильямс, Питер Герети, Селия Уэстон, Аджай Найду, Трэйси Вилар, ..., ",2001,"Германия,  США",«Взгляните на мир глазами загадочного незнакомца»,Иэн Софтли,"Чарльз Ливитт,  Джин Брюэр","Роберт Ф. Коулсберри,  Лоуренс Гордон,  Ллойд Левин, ...",Джон Мэтисон,Эд Ширмёр,"Джон Бирд,  Алек Хэммонд,  Луиз Мингенбах, ...",Крэйг МакКэй,"фантастика,  драма, ... слова",$68 000 000,$50 338 485,+ $14 663 000 = $65 001 485 сборы,,"9.33 млн,      344.2 тыс.,      281.5 тыс., ...","22 октября 2001, ...",3 января 2002,"16 октября 2008,                        «Парадиз»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,120 мин. / 02:00
8.068,69%,Шерлок Холмс,Sherlock Holmes,"Роберт Дауни мл., Джуд Лоу, Рэйчел МакАдамс, Марк Стронг, Эдди Марсан, Роберт Мэйллет, Джеральдин Джеймс, Келли Райлли, Уильям Хьюстон, Ганс Мэтисон, ..., ",2009,"США,  Германия,  Великобритания",«От них не скроешься»,Гай Ричи,"Майкл Роберт Джонсон,  Энтони Пекэм,  Саймон Кинберг, ...","Сьюзан Дауни,  Дэн Лин,  Джоэл Силвер, ...",Филипп Русло,Ханс Циммер,"Сара Гринвуд,  Джеймс Фостер,  Ник Готтшалк, ...",Джеймс Херберт,"боевик,  приключения,  триллер,  драма,  комедия,  криминал,  детектив, ... слова",$90 000 000,$209 028 679,+ $315 000 000 = $524 028 679  сборы,$16 494 393,"32 млн,      4.6 млн,      3.04 млн, ...","14 декабря 2009, ...","31 декабря 2009,                             «Каро-Премьер»","6 апреля 2010,                        «Юниверсал Пикчерс Рус»","6 апреля 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,128 мин. / 02:08
7.996,88%,Амели,Le Fabuleux destin d'Amélie Poulain,"Одри Тоту, Матьё Кассовиц, Рюфюс, Лорелла Кравотта, Серж Мерлен, Жамель Деббуз, Клотильд Молле, Клер Морье, Изабель Нанти, Доминик Пинон, ..., ",2001,"Франция,  Германия",«Она изменит вашу жизнь»,Жан-Пьер Жёне,"Гийом Лоран,  Жан-Пьер Жёне","Клоди Оссар,  Хельмут Бройер,  Бастиан Грис, ...",Брюно Дельбоннель,Янн Тьерсен,"Алин Бонетто,  Мэтью Жюно,  Фолькер Шефер, ...",Эрве Шнайд,"мелодрама,  комедия, ... слова",$10 000 000,$33 225 499,+ $140 696 455 = $173 921 954 сборы,,"8.6 млн,      3.07 млн,      3.03 млн, ...","25 апреля 2001, ...","20 сентября 2001,                             «Централ Партнершип»","20 ноября 2001,                        «Videogram»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,122 мин. / 02:02
8.150,100%,Семь самураев,Shichinin no samurai,"Тосиро Мифунэ, Такаси Симура, Кэйко Цусима, Юкико Симадзаки, Каматари Фудзивара, Даисукэ Като, Исао Кимура, Минору Тиаки, Сэидзи Миягути, Ёсио Косуги, ..., ",1954,Япония,«The Mighty Warriors Who Became the Seven National Heroes of a Small Town»,Акира Куросава,"Акира Куросава,  Синобу Хасимото,  Хидэо Огуни",Сёдзиро Мотоки,Асакадзу Накаи,Фумио Хаясака,"Такаси Мацуяма,  Сё Мацуяма,  Кохэй Эдзаки, ...",Акира Куросава,"драма,  приключения, ... слова",$500 000,$271 841  сборы,,,7 млн,"26 апреля 1954, ...",,"27 марта 2002,                        «DVD Магия»",,"зрителям, достигшим 16 лет",,207 мин. / 03:27
8.113,89%,В случае убийства набирайте «М»,Dial M for Murder,"Рэй Милланд, Грэйс Келли, Роберт Каммингс, Джон Уильямс, Энтони Доусон, Лео Бритт, Патрик Аллен, Джордж Ли, Джордж Алдерсон, Робин Хьюз, ..., ",1954,США,«Kiss By Kiss...Supreme Suspense Unfurls!»,Альфред Хичкок,Фредерик Нотт,Альфред Хичкок,Роберт Бёркс,Дмитрий Тёмкин,"Эдвард Каррере,  Джордж Джеймс Хопкинс",Руди Фер,"фильм-нуар,  триллер,  криминал,  детектив, ... слова",$1 400 000,$12 562  сборы,,,2.32 млн,"19 мая 1954, ...",,,,"зрителям, достигшим 12 лет",рекомендуется присутствие родителей,105 мин. / 01:45
8.115,92%,Бешеные псы,Reservoir Dogs,"Харви Кейтель, Тим Рот, Майкл Мэдсен, Крис Пенн, Стив Бушеми, Лоуренс Тирни, Рэнди Брукс, Кирк Балц, Эдвард Банкер, Квентин Тарантино, ..., ",1991,США,«Let's get the job done»,Квентин Тарантино,"Квентин Тарантино,  Роджер Эвери","Лоуренс Бендер,  Ричард Н. Гладштейн,  Монте Хеллман, ...",Анджей Секула,,"Дэвид Уоско,  Бетси Хайман,  Сэнди Рейнольдс-Уоско",Салли Менке,"триллер,  криминал,  драма, ... слова",$1 200 000,$2 832 029  сборы,,,682.4 тыс.,"21 января 1992, ...",,"3 июля 2008,                        «CP-Digital»","15 октября 2009,                        «CP-Digital»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,100 мин. / 01:40
8.075,96%,Корпорация монстров,"Monsters, Inc.","Джон Гудман, Билли Кристал, Мэри Гиббс, Стив Бушеми, Джеймс Коберн, Дженнифер Тилли, Боб Питерсон, Джон Ратценбергер, Фрэнк Оз, Дэниел Герсон, ..., ",2001,США,"«We Think They Are Scary, But Really We Scare Them!»","Пит Доктер,  Дэвид Силверман,  Ли Анкрич","Эндрю Стэнтон,  Дэниел Герсон,  Роберт Л. Бейрд, ...","Дарла К. Андерсон,  Карен Дюфильо,  Джон Лассетер, ...",,Рэнди Ньюман,"Харли Джессуп,  Боб Поли,  Тиа В. Крэттер, ...","Роберт Грэмджонс,  Джим Стюарт","мультфильм,  фэнтези,  комедия,  приключения,  семейный, ... слова",$115 000 000,$255 873 250,+ $272 900 000 = $528 773 250 сборы,$2 760 000,"49 млн,      8.64 млн,      7.6 млн, ...","28 октября 2001, ...","21 марта 2002,                             «Каскад фильм»","24 мая 2011,                        «Уолт Дисней Компани СНГ»","22 октября 2009,                        «Уолт Дисней Компани СНГ»","зрителям, достигшим 6 лет",нет возрастных ограничений,92 мин. / 01:32
8.074,39%,Заплати другому,Pay It Forward,"Кевин Спейси, Хелен Хант, Хэйли Джоэл Осмент, Джей Мор, Джеймс Кэвизел, Джон Бон Джови, Энджи Дикинсон, Дэвид Рэмси, Гари Вернтц, Коллин Флинн, ..., ",2000,США,«Может ли одна идея изменить мир?»,Мими Ледер,"Лесли Диксон,  Кэтрин Райан Хайд","Питер Абрамс,  Роберт Л. Леви,  Стивен Ретер, ...",Оливер Степлтон,Томас Ньюман,"Айвор Лесли Дилли,  Лоуренс А. Хуббс,  Рени Эрлих Калфус, ...",Дэвид Розенблюм,"драма, ... слова",$40 000 000,$33 519 628,+ $22 187 783 = $55 707 411 сборы,,"5.99 млн,      314.1 тыс.,      178.4 тыс., ...","12 октября 2000, ...",,"25 декабря 2001,                        «Мост-Видео»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,123 мин. / 02:03
